,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
40,65,0,136384,3,14,1,3,0,0,0,0,0,50,0,1
41,44,5,120277,4,11,1,2,0,0,0,0,0,45,0,1
42,36,0,465326,0,9,1,6,0,0,0,0,0,40,0,0
43,29,0,103634,5,7,1,5,0,0,0,0,0,40,0,0
44,20,3,138371,1,10,0,6,2,0,0,0,0,32,0,0
45,28,0,242832,4,11,1,3,4,0,1,0,0,36,0,1
46,39,0,290208,14,4,1,4,0,0,0,0,0,40,1,0
47,54,0,186272,1,10,1,8,0,0,0,3908,0,50,0,0
48,52,0,201062,5,7,3,12,1,1,1,0,0,18,0,0
49,56,5,131916,0,9,4,0,1,0,1,0,0,50,0,0
50,18,0,54440,1,10,0,5,2,0,0,0,0,20,0,0
51,39,0,280215,0,9,2,9,2,1,0,0,0,40,0,0
52,21,0,214399,1,10,0,5,2,0,1,0,1721,24,0,0
53,22,0,54164,0,9,0,5,1,0,0,14084,0,60,0,1
54,38,0,219446,15,5,5,0,1,0,0,0,0,54,1,0
55,21,0,110677,1,10,0,1,2,0,1,0,0,40,0,0
56,63,0,145985,0,9,1,4,0,0,0,0,0,40,0,0
57,34,1,382078,2,13,1,0,0,0,0,3103,0,50,0,1
58,42,5,170721,0,9,1,0,0,0,0,5178,0,50,0,1
59,33,0,269705,0,9,1,9,0,0,0,0,0,40,0,0
60,30,0,101135,2,13,0,0,1,0,1,0,0,50,0,0
61,39,0,118429,1,10,2,2,1,0,0,0,0,40,0,0
62,26,0,31208,3,14,0,0,1,0,1,0,0,40,0,0
63,33,0,281384,0,9,0,7,2,0,1,0,0,40,0,0
64,47,1,171807,0,9,2,1,1,0,1,0,0,40,0,0
66,41,5,445382,13,12,1,4,0,0,0,15024,0,60,0,1
67,19,0,105460,1,10,0,5,2,0,0,0,0,20,0,0
68,46,0,170338,0,9,3,8,1,0,0,0,0,40,0,0
69,43,0,102606,0,9,1,2,0,0,0,0,0,48,0,0
70,55,0,323887,1,10,1,0,0,0,0,15024,0,45,0,1
71,46,0,175622,4,11,1,10,0,0,0,0,0,40,0,0
72,30,0,229636,0,9,1,7,0,0,0,0,0,40,1,0
73,21,0,388946,1,10,3,9,1,0,1,0,0,40,0,0
74,46,0,269034,1,10,1,4,0,3,0,0,0,40,9,0
76,41,0,75012,0,9,1,7,0,0,0,0,0,50,0,0
77,69,5,174379,0,9,1,2,0,0,0,0,0,30,0,0
78,50,0,312477,0,9,1,8,0,0,0,0,0,40,0,0
79,20,0,72055,1,10,0,1,1,0,1,0,0,40,0,0
80,45,5,67001,1,10,1,7,0,0,0,0,0,50,0,0
81,23,0,213734,2,13,0,0,1,0,0,0,0,40,0,0
82,24,0,83141,1,10,3,5,1,0,0,0,1876,40,0,0
84,31,2,113752,1,10,1,4,0,0,0,0,0,50,0,0
85,43,0,170482,0,9,3,7,1,0,1,0,0,44,0,0
86,20,4,244689,5,7,0,5,2,0,1,0,0,10,0,0
87,55,0,160631,0,9,1,2,0,0,0,0,0,56,0,1
88,24,4,228724,1,10,0,13,1,0,0,0,0,40,0,0
90,59,0,292946,2,13,0,0,1,0,1,0,0,25,0,0
91,49,4,77443,14,4,0,5,1,1,0,0,0,20,0,0
92,33,0,176410,3,14,1,3,4,0,1,5178,0,10,0,1
93,59,4,98984,2,13,2,1,1,0,0,0,0,40,0,0
94,34,0,198751,3,14,0,5,1,4,0,0,0,40,0,0
95,20,0,479296,0,9,0,9,2,0,0,0,0,40,0,0
96,25,0,235218,2,13,0,0,2,0,1,0,0,40,0,0
97,49,0,164877,11,6,1,6,0,0,0,0,0,40,0,0
98,59,0,272087,0,9,1,8,0,0,0,0,0,40,0,1
99,20,0,169699,0,9,0,1,1,0,1,0,0,40,0,0
101,33,0,202191,1,10,0,1,3,1,1,0,0,35,0,0
102,22,0,212261,1,10,0,8,2,1,0,0,0,39,0,0
103,58,2,301568,15,5,4,5,1,0,1,0,0,40,0,0
104,52,1,155233,0,9,4,1,3,0,1,0,0,28,0,0
105,36,0,75826,11,6,3,7,1,0,1,0,0,40,0,0
106,41,1,201520,0,9,1,11,0,0,0,0,0,40,0,0
107,28,0,154236,0,9,0,8,2,0,0,2597,0,40,0,0
108,19,0,289227,1,10,0,9,2,1,0,0,0,16,0,0
109,18,0,217439,0,9,0,5,1,0,1,0,0,28,0,0
110,18,0,179020,0,9,0,7,2,0,1,0,0,48,0,0
111,28,0,149624,1,10,1,4,0,0,0,0,0,40,0,0
112,29,0,337266,4,11,1,0,0,0,0,0,0,40,0,1
114,40,0,103541,1,10,1,9,0,0,0,0,0,40,0,0
115,26,0,206721,0,9,0,9,3,0,0,0,0,40,0,0
116,46,0,96773,0,9,1,4,0,0,0,0,0,40,0,0
117,23,0,200967,5,7,0,5,1,0,1,0,0,24,0,0
118,44,0,180019,0,9,5,1,3,0,1,0,0,40,0,0
119,43,0,179866,2,13,2,2,3,0,1,0,0,40,0,1
120,31,1,198770,2,13,2,3,3,0,1,0,0,60,0,0
121,18,0,219256,1,10,0,2,2,0,1,0,0,25,0,0
122,19,0,248730,1,10,0,11,2,0,0,0,0,30,0,0
123,41,0,110732,1,10,2,10,1,0,1,0,0,40,0,0
124,41,0,181020,0,9,2,9,3,0,1,0,0,40,0,0
125,69,0,183791,0,9,2,1,1,0,1,0,0,25,0,0
126,48,4,42972,9,16,1,3,4,0,1,0,0,40,0,1
127,28,0,134813,0,9,0,3,2,0,0,0,0,40,0,0
128,27,2,115438,0,9,1,4,0,0,0,0,0,60,41,1
129,41,0,239296,3,14,1,3,0,0,0,0,2415,50,0,1
130,41,0,428420,1,10,1,1,0,0,0,0,0,40,0,0
131,24,0,247846,0,9,0,4,3,1,1,0,0,40,0,0
133,42,5,100793,9,16,1,3,0,0,0,0,0,41,0,1
134,57,0,244478,0,9,1,4,0,1,0,0,0,48,0,0
135,30,0,142921,13,12,0,3,1,0,1,0,0,40,0,0
136,36,0,182863,0,9,1,2,0,0,0,0,0,60,0,1
137,49,0,171128,14,4,1,7,0,1,0,0,0,40,0,0
138,33,0,145402,0,9,1,7,4,0,1,0,0,35,0,0
139,23,0,306309,11,6,1,6,0,0,0,0,0,40,0,0
140,46,0,83822,3,14,1,3,0,0,0,0,0,40,0,0
141,18,0,262118,1,10,0,1,2,2,1,0,0,22,16,0
142,40,0,155972,0,9,1,0,0,0,0,7688,0,55,0,1
143,43,5,214503,0,9,1,0,0,0,0,0,1887,45,0,1
144,34,0,159303,3,14,0,3,2,0,1,0,0,30,0,0
145,47,2,174995,0,9,4,0,1,0,1,0,0,30,0,0
146,44,0,26669,4,11,4,0,3,0,1,0,0,30,0,0
147,33,0,177727,0,9,1,2,0,0,0,0,0,40,0,1
148,55,0,124771,2,13,1,0,0,0,0,15024,0,50,0,1
149,19,0,456736,0,9,0,2,1,0,0,2907,0,30,0,0
150,28,0,216604,1,10,0,5,1,1,0,0,0,14,0,0
151,27,0,221561,5,7,1,5,4,1,1,0,0,32,0,0
152,50,0,114564,14,4,1,7,0,0,0,0,0,20,0,0
153,22,0,315476,5,7,0,4,3,0,0,0,0,40,0,0
154,40,3,67874,2,13,1,1,0,0,0,0,1887,45,0,1
155,25,0,126110,1,10,0,1,2,0,1,0,0,40,0,0
156,26,1,102264,0,9,0,4,1,0,0,0,0,40,0,0
157,22,0,537222,2,13,0,2,1,0,0,0,0,25,0,0
158,42,0,113732,1,10,0,9,3,1,1,0,625,40,0,0
159,38,5,93225,2,13,2,0,1,0,0,0,0,40,0,0
160,55,0,43064,5,7,1,5,0,0,0,0,0,30,0,0
161,32,0,136921,0,9,1,2,0,0,0,0,0,40,0,0
162,22,0,388885,0,9,1,4,0,0,0,0,0,45,0,0
163,29,0,142249,2,13,0,2,2,0,0,0,0,40,0,0
164,46,3,56841,3,14,1,0,0,0,0,0,0,45,0,1
165,31,0,156493,1,10,1,0,0,0,0,0,0,40,0,1
166,58,2,159021,9,16,1,3,0,0,0,0,0,16,0,1
167,42,0,190910,0,9,1,4,0,0,0,0,0,45,0,0
168,18,0,41879,0,9,0,9,3,0,0,0,0,25,0,0
169,58,1,137249,0,9,2,0,1,0,0,0,0,33,0,0
170,54,0,236157,0,9,1,3,0,0,0,0,1887,40,0,1
171,34,0,189759,3,14,0,3,1,0,0,0,0,40,0,0
172,26,0,239877,2,13,0,1,1,0,1,0,0,40,0,0
173,61,0,21175,10,8,1,0,0,0,0,0,0,60,0,0
174,48,1,67229,3,14,3,1,3,1,1,0,0,40,0,0
175,36,0,236391,1,10,1,0,0,0,0,0,0,45,0,1
176,24,0,325596,4,11,1,7,0,0,0,0,0,45,0,0
177,40,0,83411,1,10,1,7,0,0,0,0,0,37,0,0
178,33,5,154227,0,9,1,2,0,0,0,0,0,50,0,1
179,37,0,248010,1,10,1,7,0,0,0,0,1887,40,0,1
180,34,0,198613,3,14,0,0,2,0,0,4650,0,40,0,0
181,56,5,321529,1,10,1,0,0,0,0,15024,0,40,0,1
183,37,0,203079,2,13,4,0,1,0,1,0,0,55,0,0
184,44,0,284652,0,9,2,2,3,1,1,0,0,40,0,0
186,54,0,59840,0,9,2,9,1,0,0,0,0,45,0,0
187,23,0,52753,0,9,0,7,1,0,0,0,0,50,0,0
189,22,0,199266,0,9,0,5,1,0,1,0,0,45,0,0
190,33,0,196385,2,13,1,0,0,0,0,0,1977,40,0,1
191,39,0,163205,2,13,3,3,1,0,0,0,0,50,0,1
192,47,0,411047,1,10,2,1,1,1,1,0,0,37,0,0
194,26,0,209440,0,9,0,3,3,1,1,0,0,55,0,0
195,31,0,56964,1,10,2,0,3,0,1,0,0,40,0,0
196,44,0,299197,1,10,0,8,1,0,0,0,0,45,0,0
197,42,5,240628,8,15,1,3,4,0,1,0,0,50,0,1
198,19,0,355313,0,9,0,7,1,0,1,0,0,40,0,0
199,27,0,132267,0,9,1,9,0,0,0,0,0,40,0,1
200,51,1,174861,1,10,1,11,0,0,0,0,0,40,0,1
201,28,5,142443,2,13,1,0,0,0,0,0,0,50,0,0
202,57,0,26716,2,13,2,4,1,0,0,0,0,45,0,0
203,45,1,185588,2,13,2,3,3,0,1,0,0,40,0,0
204,50,0,175029,4,11,1,3,0,0,0,0,0,40,0,1
205,34,5,34848,2,13,1,2,0,0,0,0,0,54,0,0
206,45,0,411273,14,4,1,4,0,1,0,0,0,40,0,0
207,73,1,143437,0,9,1,0,0,0,0,0,0,20,0,0
208,34,0,357145,2,13,1,3,4,0,1,0,0,50,0,1
209,31,0,236861,1,10,1,2,0,0,0,0,0,55,0,1
210,19,0,53355,5,7,0,2,1,0,0,0,0,12,0,0
211,25,0,29106,1,10,0,5,2,0,1,0,0,50,0,0
212,38,4,213274,4,11,2,4,3,0,1,6497,0,40,0,0
213,39,0,22463,2,13,1,8,0,0,0,0,0,40,0,0
214,23,0,180497,2,13,0,10,2,1,1,0,0,32,0,0
215,49,0,37306,0,9,1,7,0,0,0,0,0,40,0,0
216,33,4,137814,0,9,0,5,1,0,0,0,0,32,0,0
217,21,0,447488,12,3,0,7,5,0,0,0,0,38,1,0
218,31,0,220915,4,11,3,4,1,0,0,0,0,40,0,0
219,23,0,42251,2,13,0,0,1,0,1,0,0,45,0,0
220,34,0,162312,2,13,1,1,0,2,0,0,0,40,5,0
221,25,0,77698,0,9,0,7,1,2,1,0,0,40,5,0
222,39,0,282951,0,9,0,4,3,0,0,0,0,40,0,0
223,52,5,311259,0,9,1,2,0,0,0,0,0,40,0,1
224,63,1,65479,15,5,1,8,0,0,0,7688,0,40,0,1
225,41,0,277256,1,10,1,4,0,0,0,0,0,40,0,0
226,46,0,312088,2,13,1,3,0,0,0,15024,0,38,0,1
227,53,1,169719,0,9,1,0,0,0,0,0,0,40,0,0
230,18,0,96869,10,8,0,12,2,0,0,0,0,40,0,0
231,38,0,237943,8,15,1,3,0,0,0,0,0,50,0,0
232,55,0,119751,3,14,0,0,3,2,1,0,0,50,38,0
233,34,0,236861,0,9,1,10,0,0,0,0,0,40,0,1
234,80,2,201092,0,9,1,5,0,0,0,0,0,30,0,0
235,34,0,147215,4,11,2,10,3,0,1,0,0,60,0,0
236,52,0,152373,1,10,1,10,0,0,0,5013,0,40,0,0
237,42,0,227968,0,9,0,5,3,1,1,0,0,28,27,0
238,26,0,362617,1,10,0,2,1,0,1,0,0,40,0,0
239,31,0,103435,0,9,1,8,0,0,0,0,0,40,0,0
240,25,1,281412,0,9,0,5,2,0,1,0,0,35,0,0
241,55,2,105239,0,9,1,4,0,0,0,0,2057,60,0,0
242,19,0,230165,1,10,0,5,2,0,1,0,0,12,0,0
243,62,2,177493,1,10,1,8,0,0,0,0,0,32,0,0
244,22,4,104443,1,10,0,1,2,0,1,0,0,20,0,0
246,35,0,143385,0,9,1,9,0,0,0,0,0,40,0,0
247,28,0,107189,0,9,1,2,2,0,1,0,0,40,0,0
248,47,0,212944,0,9,1,8,0,0,0,0,0,70,0,1
249,44,3,138634,0,9,1,7,0,0,0,0,0,40,0,0
250,21,0,99970,1,10,0,2,2,0,0,0,0,15,0,0
251,35,0,203717,4,11,0,4,1,0,0,0,0,50,0,0
252,24,0,313956,2,13,1,3,0,0,0,0,0,40,0,1
254,28,0,193868,2,13,0,10,2,0,0,0,0,50,0,0
255,21,0,250939,1,10,0,7,5,0,0,0,0,35,0,0
256,62,4,57629,1,10,2,10,1,1,0,4650,0,40,0,0
257,39,0,281768,0,9,0,5,1,1,1,0,0,40,0,0
258,30,3,260782,0,9,0,5,1,0,0,0,0,40,0,0
259,72,2,243769,8,15,0,3,1,0,0,0,1429,20,0,0
260,50,0,109937,1,10,1,0,4,0,1,0,0,50,0,0
261,28,1,134890,3,14,0,3,1,0,0,0,0,40,0,0
262,29,0,100293,1,10,0,3,1,0,1,0,0,40,0,0
263,26,0,132179,2,13,0,1,2,0,1,0,0,40,0,0
264,27,0,116372,3,14,0,0,1,0,1,0,0,40,0,0
265,29,0,255412,1,10,1,9,0,0,0,3103,0,40,0,1
267,29,0,342400,11,6,1,4,0,0,0,0,0,25,0,0
269,31,0,169085,5,7,1,2,4,0,1,0,0,20,0,0
270,25,0,177221,0,9,1,0,0,0,0,0,0,75,0,0
271,58,0,65325,11,6,1,8,0,0,0,0,0,40,0,1
272,64,0,118944,1,10,1,0,4,0,1,0,0,40,0,1
273,46,3,149337,3,14,0,0,1,0,0,0,0,38,0,0
275,19,0,106183,0,9,0,5,2,4,1,0,0,35,0,0
276,42,0,226388,0,9,2,5,1,1,0,0,0,52,0,0
277,18,0,220754,5,7,0,9,2,0,0,0,0,24,0,0
278,58,5,204021,2,13,1,4,0,0,0,15024,0,50,0,1
279,20,0,347391,1,10,0,11,1,1,0,0,0,60,0,0
280,35,4,413930,0,9,1,4,0,0,0,0,0,40,0,1
281,32,0,174201,0,9,1,9,0,0,0,0,0,38,0,1
282,23,0,145917,0,9,0,9,1,0,1,0,0,25,0,0
283,31,0,241797,1,10,2,10,3,0,1,0,0,40,0,0
284,33,0,265168,2,13,1,2,0,1,0,0,0,55,0,0
285,41,0,171234,1,10,0,7,1,0,1,0,0,48,0,0
286,22,0,178452,0,9,0,7,2,1,0,0,0,40,0,0
287,46,0,157857,1,10,1,11,0,0,0,0,0,40,0,1
288,61,4,512864,1,10,1,8,0,1,0,0,0,40,0,0
289,30,0,296462,0,9,0,0,1,1,0,0,0,40,0,0
290,42,0,171615,0,9,1,0,0,0,0,0,0,55,0,1
291,63,0,214071,11,6,1,9,0,0,0,0,0,40,0,0
292,26,0,172421,1,10,1,2,0,0,0,0,0,40,0,0
293,42,0,195488,11,6,2,1,3,0,1,0,0,40,0,0
294,23,0,316841,1,10,1,5,0,0,0,0,0,40,0,0
295,25,0,236267,0,9,0,7,3,0,0,0,1590,40,0,0
296,30,0,236543,15,5,1,5,0,0,0,0,0,32,13,1
297,23,0,318483,0,9,0,2,2,0,0,0,0,40,0,0
298,34,2,163756,4,11,0,6,1,0,0,27828,0,60,0,1
299,30,0,238186,0,9,1,7,5,0,0,0,2057,48,0,0
300,39,0,329980,1,10,1,4,0,0,0,0,0,40,0,1
301,30,0,169269,5,7,0,9,5,0,0,0,1721,38,39,0
302,38,1,34744,1,10,2,1,3,0,1,0,0,38,0,0
303,26,0,98114,0,9,2,0,2,0,1,0,0,40,0,0
304,20,0,109667,1,10,0,9,2,0,0,0,0,16,0,0
306,33,0,147430,0,9,1,1,2,0,1,0,0,40,0,0
307,24,0,224238,2,13,0,1,2,0,0,0,0,40,0,0
308,42,5,212894,2,13,1,0,0,0,0,0,0,60,0,1
309,51,2,136708,0,9,1,2,0,2,0,3103,0,84,23,0
310,56,1,38573,13,12,1,10,0,0,0,0,0,45,0,1
311,22,0,197200,1,10,0,9,2,0,0,0,0,40,0,0
312,52,2,182796,1,10,1,6,0,0,0,0,0,60,0,0
313,44,0,184527,2,13,2,0,3,0,1,4934,0,45,0,1
314,34,0,145231,0,9,1,1,4,0,1,4064,0,35,0,0
315,51,0,43354,1,10,2,4,1,0,0,0,0,42,0,1
317,19,0,355712,1,10,0,2,1,0,1,0,0,25,0,0
318,37,0,98776,2,13,1,0,0,0,0,0,0,40,0,1
319,68,0,257557,0,9,1,7,0,1,0,0,0,40,0,1
320,22,0,102258,1,10,2,11,1,0,0,0,0,40,0,0
321,56,5,170287,2,13,1,0,0,0,0,0,0,40,0,0
322,37,0,243409,0,9,1,4,0,0,0,0,0,40,0,0
323,52,0,55608,6,2,1,7,0,0,0,0,0,40,1,0
324,26,0,248057,0,9,3,9,2,0,0,0,0,40,39,0
325,33,0,95530,3,14,1,3,0,0,0,0,0,50,0,0
326,45,1,54038,3,14,2,3,3,0,1,0,0,42,0,0
327,18,0,161245,5,7,0,5,2,0,0,0,0,15,0,0
328,43,2,388725,1,10,1,6,0,0,0,0,0,60,0,1
330,18,0,228216,0,9,0,9,2,0,0,0,0,20,0,0
332,57,0,78020,0,9,1,4,0,0,0,0,0,40,0,1
333,41,0,249254,0,9,2,1,3,0,1,3674,0,42,0,0
334,34,0,87218,3,14,1,0,0,0,0,0,1887,50,0,1
335,19,0,304299,0,9,0,2,3,0,1,0,0,40,0,0
336,44,0,196234,15,5,2,5,3,0,1,0,0,55,9,0
337,56,0,197875,11,6,4,5,3,0,1,0,0,40,0,0
338,36,5,48063,0,9,1,6,0,0,0,0,0,80,0,0
339,48,0,253596,2,13,2,0,3,0,1,0,0,48,0,0
340,29,0,39257,0,9,1,8,0,0,0,0,0,40,0,1
341,33,0,56150,2,13,0,4,1,0,0,2174,0,40,0,0
342,31,0,179415,12,3,1,5,0,0,0,0,0,40,1,0
343,39,0,252445,3,14,1,3,0,0,0,0,0,45,0,1
344,66,0,275918,0,9,1,0,0,0,0,10605,0,40,0,1
345,27,0,106562,2,13,0,3,1,0,1,0,0,50,0,1
346,39,0,198654,0,9,2,0,3,1,1,99999,0,40,0,1
347,59,0,107318,14,4,1,4,0,0,0,5178,0,50,0,1
348,26,0,181896,0,9,0,5,2,0,1,0,0,40,0,0
349,31,0,106014,4,11,2,4,3,0,0,0,0,40,0,0
351,23,0,197997,0,9,0,9,2,0,0,0,0,30,0,0
352,36,1,173542,0,9,2,1,3,0,1,0,0,40,0,0
353,34,0,207564,1,10,1,5,4,0,1,0,0,12,0,1
354,32,0,224462,0,9,1,8,0,0,0,0,0,84,0,1
355,37,0,123361,2,13,1,3,0,1,0,0,0,50,0,1
356,33,0,90409,2,13,0,2,1,0,0,0,0,45,0,0
357,50,2,165001,8,15,1,3,0,0,0,99999,0,80,0,1
358,32,4,149573,13,12,0,11,1,1,0,0,0,40,0,0
359,35,0,249456,2,13,0,1,2,1,1,0,0,40,0,0
360,37,0,149898,5,7,1,4,0,0,0,0,0,40,0,0
361,44,0,292985,1,10,2,4,1,0,0,0,0,60,0,0
362,57,0,50223,1,10,2,9,5,0,0,0,0,25,0,0
363,29,1,400074,1,10,1,0,2,0,1,0,0,40,0,0
364,55,0,197399,0,9,1,4,0,0,0,0,0,50,0,1
365,43,5,209547,8,15,1,3,0,0,0,0,0,25,0,1
366,43,0,52433,1,10,1,2,0,0,0,0,0,70,0,0
367,45,2,355978,1,10,1,2,0,0,0,0,0,60,0,1
368,33,2,48214,3,14,1,3,4,0,1,0,0,8,0,0
369,26,0,190873,11,6,2,5,3,0,1,0,0,40,16,0
370,23,0,278390,1,10,1,2,0,0,0,0,0,68,0,0
371,41,0,203217,14,4,3,4,1,0,0,0,0,40,1,0
372,24,0,279175,0,9,1,4,0,0,0,0,0,40,0,0
373,47,2,194590,2,13,1,2,0,0,0,0,0,44,0,0
374,34,2,198813,0,9,0,4,2,0,0,0,0,45,0,0
375,40,0,187294,0,9,1,0,0,0,0,0,0,40,0,1
376,28,0,302903,2,13,1,3,4,2,1,0,1485,40,0,0
377,24,0,154835,0,9,0,0,2,2,1,0,0,40,32,0
379,23,0,100345,0,9,0,4,5,0,0,0,0,15,0,0
380,43,2,126320,0,9,1,0,0,1,0,0,0,40,0,1
381,26,0,142226,2,13,2,10,1,0,1,0,0,40,0,0
382,58,2,112076,9,16,6,0,4,0,1,0,1485,35,0,1
383,52,0,225339,0,9,4,1,3,1,1,0,0,35,0,0
384,29,0,211208,5,7,1,8,0,0,0,0,0,99,0,1
385,47,0,200808,5,7,1,5,0,0,0,0,0,35,12,0
386,49,0,220618,0,9,2,1,3,1,1,0,0,37,0,0
387,40,0,210493,5,7,4,1,3,0,1,0,0,40,0,0
388,62,2,369734,0,9,1,1,4,0,1,0,0,40,0,0
389,49,0,27898,0,9,1,0,0,0,0,0,1977,55,0,1
390,50,0,138193,2,13,2,3,5,0,1,0,0,50,0,1
391,31,0,224234,0,9,0,8,2,1,0,0,0,40,0,0
392,48,1,188741,3,14,0,3,1,0,1,0,0,50,0,0
393,24,0,183772,0,9,0,4,3,0,1,0,0,40,0,0
395,37,0,79586,0,9,3,7,2,2,0,0,0,60,0,0
396,45,0,355781,2,13,1,0,0,2,0,0,0,45,8,1
398,36,0,116358,3,14,1,0,0,2,0,0,0,45,31,0
399,45,0,59287,2,13,1,0,0,0,0,0,0,40,0,0
400,41,0,138868,2,13,0,2,1,0,1,0,0,40,0,0
401,26,0,185885,13,12,0,10,5,0,1,0,0,20,0,0
402,17,0,40299,5,7,0,2,2,0,1,0,0,25,0,0
404,43,0,51494,0,9,1,7,0,0,0,0,0,65,0,0
405,35,0,179481,0,9,0,8,2,0,0,0,0,55,0,0
406,38,0,365907,2,13,2,1,3,0,1,0,0,40,0,0
407,26,0,284343,0,9,0,7,1,0,0,0,0,40,0,0
408,28,0,204862,1,10,0,0,2,0,1,0,0,40,0,0
409,38,0,272476,2,13,1,3,4,0,1,0,0,24,0,1
410,36,0,175130,5,7,2,8,3,0,1,0,0,40,0,0
411,33,0,118941,0,9,1,1,4,0,1,0,0,40,0,1
412,19,0,164339,0,9,0,9,2,0,0,1055,0,70,0,0
414,42,4,55457,11,6,1,1,0,0,0,0,0,40,1,0
415,50,0,280292,11,6,1,8,0,0,0,0,0,40,0,1
416,30,0,446894,0,9,1,9,0,0,0,0,0,30,0,0
417,37,3,67083,1,10,1,3,5,2,0,0,0,40,28,0
418,54,5,159219,8,15,1,3,0,0,0,99999,0,40,0,1
419,52,5,168539,2,13,0,0,1,0,0,0,0,40,0,0
421,33,0,150309,0,9,2,4,1,0,1,0,0,40,0,0
422,25,0,122999,1,10,0,10,5,0,0,0,0,40,0,0
423,24,0,302195,2,13,0,2,1,0,0,0,0,45,0,0
424,26,0,210982,4,11,3,1,3,1,1,114,0,40,0,0
425,39,0,177140,0,9,3,1,1,0,0,0,0,40,0,1
426,59,0,113838,0,9,2,5,1,0,1,0,0,40,0,0
427,29,0,97165,1,10,0,1,3,0,1,0,0,40,0,0
428,47,0,104301,5,7,0,5,2,0,1,0,0,45,0,0
430,64,5,115931,0,9,1,8,0,0,0,0,0,50,0,0
431,21,0,147280,0,9,0,5,2,3,0,0,0,20,0,0
432,32,0,185433,1,10,1,1,4,1,1,0,0,40,0,1
433,26,0,599057,0,9,0,0,1,1,1,0,0,37,0,0
435,62,2,71467,3,14,1,3,0,0,0,0,0,40,0,0
436,32,0,183977,2,13,1,4,0,0,0,0,0,55,0,1
438,45,2,196858,0,9,1,0,0,0,0,0,0,60,0,0
439,31,0,160594,2,13,1,0,0,0,0,0,1887,50,0,1
440,32,0,65278,0,9,1,1,0,0,0,2580,0,40,0,0
441,24,0,102258,2,13,1,2,0,0,0,0,0,40,0,0
442,25,0,196947,2,13,0,2,2,0,1,0,0,40,0,0
443,41,2,233150,0,9,1,0,0,0,0,0,0,60,0,0
444,18,0,42857,1,10,0,2,2,0,1,0,0,20,0,0
445,44,0,118059,9,16,1,3,0,0,0,0,0,55,0,1
446,40,0,169262,1,10,1,0,0,0,0,3411,0,50,0,0
447,27,0,95108,2,13,0,3,1,0,0,0,0,40,0,0
448,23,0,161092,2,13,0,1,2,0,0,0,0,40,0,0
449,21,0,345253,1,10,0,1,1,3,0,2174,0,40,0,0
450,37,3,111275,0,9,1,8,0,0,0,0,0,40,0,0
451,65,2,178878,0,9,1,6,0,0,0,0,0,48,0,0
452,43,4,157237,3,14,1,3,0,0,0,0,0,40,0,1
453,45,0,155664,0,9,0,1,1,0,0,0,0,44,0,0
454,24,3,322658,2,13,0,0,1,0,1,0,0,40,0,0
455,24,0,208503,1,10,0,7,1,0,0,0,0,42,0,0
